prediction,theta_mean,alpha_mean,beta_mean,tbr_mean,tbr_min,tbr_max,bar_mean,bar_min,bar_max,outlier_features_p01_p99,outlier_features_p05_p95
1,2524485.5451161107,727020.8127531547,552181.6889310186,3.6644630229288353,0.3204292142207163,7.797417984057993,1.5288063284888609,0.4359404806973389,2.75603518259934,11,16
1,23095539.04992991,1165652.6064562588,574034.9382595553,18.39991746036629,2.6305888571306584,87.89697868187393,0.8532205766392947,0.3026357328643844,1.6276280077820329,17,18
1,16340805.892989412,1101578.3750521024,478818.324141141,22.129702828049634,1.51648770174107,80.72804247786833,0.8692545662702859,0.19823615595160893,2.4314108898241127,15,19
1,10758111.754949186,587347.3102755091,381191.8847975871,11.561703996023242,1.6026784374633007,81.18815263618428,1.2357316355160857,0.3442210652836115,2.0415741359252046,14,17
1,10186660.185814083,618907.5221233064,343085.258012023,13.155502125172346,0.7663449573474368,106.66622569667439,1.361042754531153,0.1995386011210059,3.4213597198357784,15,15
1,21093864.23948399,1985208.4603331203,569872.9096578973,17.16714569933964,3.8167179539589693,78.50460590118666,0.5454060603570224,0.1670290766027095,1.5928770776305374,21,22
1,7957933.437334122,1561970.2692283487,615235.053239636,7.821494454196712,0.738506687021681,18.74899746746414,0.8663620766123171,0.26965254692196805,2.0864539291978117,14,15
1,2499123.394248283,342332.51094905584,428530.5357339721,3.088691922797332,0.4814768886066093,15.109194075882426,1.5161159220826799,0.8123188827011807,3.4231989928224973,6,11
1,3594792.1036135633,674161.3534102634,491866.04122380447,6.859298788039774,0.5424212308997509,14.850042049946017,1.1442291380910616,0.395326797984552,3.670442358424164,13,17
1,15363491.730130056,777035.0252381576,490913.1070345458,11.878754312568407,1.3280544895629056,76.24288952133956,1.0982930009916645,0.38102876148115333,2.5594956795899426,13,16
1,12756451.969284281,611799.797768226,436944.7844769276,11.53042175057023,1.0974191391213053,82.63580021932088,1.1859867863760147,0.3943854604500957,3.4267578197656468,14,16
1,9949865.275786022,1867101.2315641844,956737.5529866169,6.145258549131425,0.8341421305783717,14.058571935689061,1.029255765578466,0.4007459352102685,2.6276386235899936,12,15
1,20618834.998689167,4909774.411513841,1414270.4932891256,9.85951731925201,2.3746955328356325,21.726645625343075,0.518105269867484,0.24592743407380735,1.0057841679941557,19,23
1,28352869.215485614,2409058.8924542433,898373.8591626178,12.85822840391266,2.581312977814253,44.51117154926051,0.8965753865812456,0.28347540669061505,2.080685165699623,14,19
1,32926834.522366766,4916424.032531498,1223114.3067943547,15.462524531954807,3.0954947233721284,33.30557221406415,0.5557457352068427,0.20480334715356557,1.3730002704294397,19,25
1,34067092.04979329,2369128.839738336,926046.0849383343,14.768212149868038,2.6638727721185584,54.22339442742958,1.1083710508904026,0.28404079751445127,4.187491393715477,17,19
1,18714199.83756913,1789782.4677718736,498004.9166980282,15.745712944620783,1.5676278206547747,90.57932576280889,0.680189746587231,0.13451686843313115,2.069727962640569,16,20
1,4352930.775558357,1152330.6474883913,783930.2178598876,2.6072932795559582,0.252595849011637,9.639116000358657,1.6908893428928706,0.41521041882807364,4.650559355965063,10,13
